google, 2016-04-27, 2016-5-11,28.207828,27.795154,28.840291,28.580375,28.388529,28.499336,28.48381,28.231636,27.617477,27.73964, 
yahoo, 2016-04-27, 2016-5-11,111.61083,112.564524,110.440524,111.076608,109.622496,111.892723,110.061501,109.82551,108.311105,109.532329, 
facebook, 2016-04-27, 2016-5-11,748.619707,745.347529,740.626109,738.313342,712.919035,737.602686,742.186856,723.199114,733.827608,727.828453, 
twitter, 2016-04-27, 2016-5-11,30.825759,31.21639,29.947109,30.568202,32.360658,31.928847,31.11903,31.265067,30.729126,28.681768, 
microsoft, 2016-04-27, 2016-5-11,11.288353,11.844279,12.395545,12.645852,13.337579,13.437195,13.327675,13.616063,14.128886,14.366437, 
apple, 2016-04-27, 2016-5-11,49.581771,50.07769,50.438851,51.528027,50.354527,51.697054,52.715394,50.837376,51.282134,53.429254, 
tesla, 2016-04-27, 2016-5-11,36.982542,36.161477,35.818123,36.087308,35.437111,35.4445,34.932504,34.681874,35.94584,35.464259, 
nvidia, 2016-04-27, 2016-5-11,41.074368,41.001482,40.864994,39.6905,39.351251,40.206701,41.413015,41.533905,41.820298,40.824715, 
amd, 2016-04-27, 2016-5-11,15.30953,16.420803,16.786692,17.198664,17.071049,18.311452,17.129744,17.684651,19.399462,20.080047, 
intel, 2016-04-27, 2016-5-11,36.124953,37.501953,37.30533,36.556264,35.956638,36.91178,36.423993,37.104843,38.581871,38.418836, 
